r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQ2PP1/2K1RN1R b q - 1 16,-422
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQ2PP1/1NK1R2R b q - 1 16,-376
r2qkb2/pb1nn3/1ppp2Qp/8/3P1p2/2P2N1P/PP1N1PP1/2K1R2R b q - 0 16,#+0
r2qkb2/pb1nn3/1ppp2rp/5Q2/3P1p2/2P2N1P/PP1N1PP1/2K1R2R b q - 1 16,-335
r2qkb2/pb1nn3/1ppp2rp/8/3PQp2/2P2N1P/PP1N1PP1/2K1R2R b q - 1 16,-384
r2qkb2/pb1nn3/1ppp2rp/8/Q2P1p2/2P2N1P/PP1N1PP1/2K1R2R b q - 1 16,-446
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2PQ1N1P/PP1N1PP1/2K1R2R b q - 1 16,-331
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/1QP2N1P/PP1N1PP1/2K1R2R b q - 1 16,-436
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PP1N1PP1/2KQR2R b q - 1 16,-419
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PP1N1PP1/1QK1R2R b q - 1 16,-309
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PPR/2K1R3 b q - 1 16,-344
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K1R1R1 b q - 1 16,-233
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K1RR2 b q - 1 16,-270
r2qkb2/pb1nR3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K4R b q - 0 16,-318
r2qkb2/pb1nn3/1pppR1rp/8/3P1p2/2P2N1P/PPQN1PP1/2K4R b q - 1 16,-687
r2qkb2/pb1nn3/1ppp2rp/4R3/3P1p2/2P2N1P/PPQN1PP1/2K4R b q - 1 16,-626
r2qkb2/pb1nn3/1ppp2rp/8/3PRp2/2P2N1P/PPQN1PP1/2K4R b q - 1 16,-334
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P1RN1P/PPQN1PP1/2K4R b q - 1 16,-708
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQNRPP1/2K4R b q - 1 16,-300
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K3RR b q - 1 16,-491
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K2R1R b q - 1 16,-496
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2KR3R b q - 1 16,-448
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/3KR2R b q - 1 16,-369
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/1K2R2R b q - 1 16,-360
r2qkb2/pb1nn3/1ppp2rp/3P4/5p2/2P2N1P/PPQN1PP1/2K1R2R b q - 0 16,-296
r2qkb2/pb1nn3/1ppp2rp/8/3P1p1P/2P2N2/PPQN1PP1/2K1R2R b q - 0 16,-323
r2qkb2/pb1nn3/1ppp2rp/8/2PP1p2/5N1P/PPQN1PP1/2K1R2R b q - 0 16,-294
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2NPP/PPQN1P2/2K1R2R b q - 0 16,-351
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/1PP2N1P/P1QN1PP1/2K1R2R b q - 0 16,-369
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/P1P2N1P/1PQN1PP1/2K1R2R b q - 0 16,-359
r2qkb2/pb1nn3/1ppp2rp/8/3P1pP1/2P2N1P/PPQN1P2/2K1R2R b q g3 0 16,-296
r2qkb2/pb1nn3/1ppp2rp/8/1P1P1p2/2P2N1P/P1QN1PP1/2K1R2R b q - 0 16,-316
r2qkb2/pb1nn3/1ppp2rp/8/P2P1p2/2P2N1P/1PQN1PP1/2K1R2R b q - 0 16,-369
r2qkbr1/pb1nn3/1ppp2Bp/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R b q - 3 15,#+1
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R w q - 0 16,#+1
8/7p/R5p1/2p1pkP1/7P/P4PK1/1r6/3q4 w - - 6 46,#+1
R7/7p/6p1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#-2
8/R6p/6p1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#-2
8/7p/6R1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 0 46,#-2
8/7p/5Rp1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#+0
8/7p/4R1p1/2p1pkP1/7P/P4PK1/1r6/3q4 b - - 7 46,#-2
